xflr5 v6.50

Plane name :        AC_Eppler_Flying
Polar name :        T1-20.0 m/s-VLM1-2.0kg-x0.0m
Freestream speed :  20.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -4.000     0.000  -0.504192   0.002404   0.026320   0.028723   0.000000   0.000000   0.118422   0.000000   0.000000   20.0000     0.0335
   -3.500     0.000  -0.453507   0.001949   0.022012   0.023961   0.000000   0.000000   0.110934   0.000000   0.000000   20.0000     0.0345
   -3.000     0.000  -0.402777   0.001542   0.018984   0.020526   0.000000   0.000000   0.103437   0.000000   0.000000   20.0000     0.0357
   -2.500     0.000  -0.352007   0.001182   0.016640   0.017821   0.000000  -0.000000   0.095926  -0.000000  -0.000000   20.0000     0.0373
   -2.000     0.000  -0.301203   0.000869   0.013831   0.014700   0.000000   0.000000   0.088392  -0.000000   0.000000   20.0000     0.0393
   -1.500     0.000  -0.250368   0.000605   0.012756   0.013360   0.000000   0.000000   0.080850   0.000000  -0.000000   20.0000     0.0423
   -1.000     0.000  -0.199510   0.000388   0.013123   0.013511   0.000000   0.000000   0.073295  -0.000000  -0.000000   20.0000     0.0467
   -0.500     0.000  -0.148631   0.000220   0.013599   0.013819   0.000000  -0.000000   0.065720   0.000000  -0.000000   20.0000     0.0542
    0.000     0.000  -0.097739   0.000099   0.014048   0.014147   0.000000   0.000000   0.058128  -0.000000   0.000000   20.0000     0.0695
    0.500     0.000  -0.046837   0.000028   0.013913   0.013940   0.000000   0.000000   0.050521  -0.000000   0.000000   20.0000     0.1179
    1.000     0.000   0.004068   0.000004   0.013863   0.013867   0.000000   0.000000   0.042902  -0.000000  -0.000000   20.0000    -1.0460
    1.500     0.000   0.054973   0.000029   0.013933   0.013962   0.000000  -0.000000   0.035274  -0.000000   0.000000   20.0000    -0.0544
    2.000     0.000   0.105871   0.000102   0.013995   0.014098   0.000000   0.000000   0.027638  -0.000000   0.000000   20.0000    -0.0162
    2.500     0.000   0.156758   0.000224   0.014137   0.014361   0.000000  -0.000000   0.019997  -0.000000   0.000000   20.0000    -0.0029
    3.000     0.000   0.207628   0.000394   0.014543   0.014937   0.000000  -0.000000   0.012351  -0.000000   0.000000   20.0000     0.0039
    3.500     0.000   0.258476   0.000611   0.014889   0.015500   0.000000  -0.000000   0.004705  -0.000000  -0.000000   20.0000     0.0081
    4.000     0.000   0.309298   0.000877   0.015221   0.016098   0.000000  -0.000000  -0.002940  -0.000000   0.000000   20.0000     0.0108
    4.500     0.000   0.360087   0.001190   0.015686   0.016876   0.000000  -0.000000  -0.010583  -0.000000  -0.000000   20.0000     0.0128
    5.000     0.000   0.410840   0.001550   0.016242   0.017792   0.000000  -0.000000  -0.018221   0.000000   0.000000   20.0000     0.0143
    5.500     0.000   0.461550   0.001958   0.016492   0.018450   0.000000  -0.000000  -0.025847   0.000000  -0.000000   20.0000     0.0155
    6.000     0.000   0.512213   0.002412   0.016078   0.018489   0.000000  -0.000000  -0.033452  -0.000000  -0.000000   20.0000     0.0164
    6.500     0.000   0.562824   0.002912   0.014164   0.017076   0.000000  -0.000000  -0.041018   0.000000   0.000000   20.0000     0.0172
    7.000     0.000   0.613377   0.003459   0.013983   0.017442   0.000000  -0.000000  -0.048594   0.000000   0.000000   20.0000     0.0178
    7.500     0.000   0.663868   0.004050   0.015842   0.019893   0.000000  -0.000000  -0.056189  -0.000000  -0.000000   20.0000     0.0184


