xflr5 v6.50

Plane name :        AC_NACA_Swept_Twisted_2_positive
Polar name :        T1-20.0 m/s-VLM1-2.0kg-x0.0m
Freestream speed :  20.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
    0.000     0.000   0.172478   0.000556   0.009691   0.010247   0.000000   0.000000  -0.165976   0.000000  -0.000000   20.0000     0.1563
    0.500     0.000   0.222335   0.000827   0.009491   0.010318   0.000000   0.000000  -0.202104  -0.000000   0.000000   20.0000     0.1481
    1.000     0.000   0.272169   0.001161   0.009262   0.010423   0.000000   0.000000  -0.238197  -0.000000  -0.000000   20.0000     0.1430
    1.500     0.000   0.321974   0.001557   0.009095   0.010652   0.000000   0.000000  -0.274246  -0.000000  -0.000000   20.0000     0.1394
    2.000     0.000   0.371746   0.002014   0.009071   0.011085   0.000000   0.000000  -0.310243   0.000000  -0.000000   20.0000     0.1368
    2.500     0.000   0.421480   0.002532   0.009211   0.011743   0.000000   0.000000  -0.346181  -0.000000  -0.000000   20.0000     0.1348
    3.000     0.000   0.471168   0.003111   0.009489   0.012600   0.000000   0.000000  -0.382051  -0.000000   0.000000   20.0000     0.1333
    3.500     0.000   0.520807   0.003751   0.009876   0.013627   0.000000   0.000000  -0.417843  -0.000000  -0.000000   20.0000     0.1320
    4.000     0.000   0.570391   0.004451   0.010370   0.014821   0.000000   0.000000  -0.453548  -0.000000   0.000000   20.0000     0.1310
    4.500     0.000   0.619914   0.005210   0.010993   0.016203   0.000000   0.000000  -0.489159  -0.000000  -0.000000   20.0000     0.1301
    5.000     0.000   0.669372   0.006028   0.011903   0.017931   0.000000   0.000000  -0.524681  -0.000000  -0.000000   20.0000     0.1294
    5.500     0.000   0.718758   0.006905   0.013447   0.020352   0.000000   0.000000  -0.560138  -0.000000   0.000000   20.0000     0.1287
    6.000     0.000   0.768068   0.007840   0.015409   0.023249   0.000000   0.000000  -0.595502  -0.000000   0.000000   20.0000     0.1282
    6.500     0.000   0.817296   0.008832   0.017622   0.026454   0.000000   0.000000  -0.630757  -0.000000   0.000000   20.0000     0.1277
    7.000     0.000   0.866438   0.009881   0.019986   0.029866   0.000000   0.000000  -0.665893  -0.000000   0.000000   20.0000     0.1273
    7.500     0.000   0.915487   0.010985   0.022452   0.033437   0.000000   0.000000  -0.700898  -0.000000  -0.000000   20.0000     0.1269


