xflr5 v6.50

Plane name :        AC_NACA_Swept_Twisted_6
Polar name :        T1-20.0 m/s-VLM1-2.0kg-x0.0m
Freestream speed :  20.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
    0.000     0.000  -0.132324   0.001260   0.010102   0.011362   0.000000  -0.000000   0.110310   0.000000   0.000000   20.0000     0.1367
    0.500     0.000  -0.082418   0.001049   0.009934   0.010983  -0.000000  -0.000000   0.074090   0.000000   0.000000   20.0000     0.1468
    1.000     0.000  -0.032503   0.000900   0.009850   0.010750   0.000000  -0.000000   0.037860  -0.000000   0.000000   20.0000     0.1878
    1.500     0.000   0.017416   0.000813   0.009822   0.010635   0.000000  -0.000000   0.001631   0.000000  -0.000000   20.0000    -0.0063
    2.000     0.000   0.067332   0.000790   0.009779   0.010568   0.000000  -0.000000  -0.034587  -0.000000   0.000000   20.0000     0.0874
    2.500     0.000   0.117241   0.000828   0.009698   0.010526   0.000000  -0.000000  -0.070780   0.000000  -0.000000   20.0000     0.1013
    3.000     0.000   0.167138   0.000929   0.009604   0.010533   0.000000  -0.000000  -0.106939  -0.000000   0.000000   20.0000     0.1069
    3.500     0.000   0.217015   0.001092   0.009523   0.010615   0.000000   0.000000  -0.143051  -0.000000  -0.000000   20.0000     0.1100
    4.000     0.000   0.266870   0.001317   0.009484   0.010800   0.000000   0.000000  -0.179107   0.000000   0.000000   20.0000     0.1119
    4.500     0.000   0.316695   0.001603   0.009507   0.011111   0.000000   0.000000  -0.215097   0.000000   0.000000   20.0000     0.1132
    5.000     0.000   0.366485   0.001951   0.009603   0.011554   0.000000   0.000000  -0.251011  -0.000000  -0.000000   20.0000     0.1141
    5.500     0.000   0.416236   0.002361   0.009776   0.012137   0.000000  -0.000000  -0.286841  -0.000000  -0.000000   20.0000     0.1149
    6.000     0.000   0.465941   0.002831   0.010042   0.012873   0.000000   0.000000  -0.322578   0.000000   0.000000   20.0000     0.1154
    6.500     0.000   0.515596   0.003361   0.010437   0.013798   0.000000   0.000000  -0.358215   0.000000  -0.000000   20.0000     0.1159
    7.000     0.000   0.565194   0.003952   0.011060   0.015012   0.000000  -0.000000  -0.393748  -0.000000  -0.000000   20.0000     0.1163
    7.500     0.000   0.614731   0.004602   0.012022   0.016624   0.000000   0.000000  -0.429177  -0.000000  -0.000000   20.0000     0.1166


