xflr5 v6.50

Plane name :        AC_NACA_Swept_0.15
Polar name :        T1-20.0 m/s-VLM1-2.0kg-x0.0m
Freestream speed :  20.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -5.000     0.000  -0.402119   0.002000   0.012714   0.014714   0.000000   0.000000   0.226922   0.000000   0.000000   20.0000     0.0959
   -4.500     0.000  -0.352363   0.001535   0.011747   0.013282   0.000000   0.000000   0.195560   0.000000   0.000000   20.0000     0.0944
   -4.000     0.000  -0.302566   0.001132   0.010995   0.012127   0.000000   0.000000   0.164142   0.000000  -0.000000   20.0000     0.0925
   -3.500     0.000  -0.252736   0.000789   0.010421   0.011210   0.000000   0.000000   0.132671   0.000000  -0.000000   20.0000     0.0897
   -3.000     0.000  -0.202878   0.000508   0.010108   0.010616   0.000000   0.000000   0.101158   0.000000  -0.000000   20.0000     0.0857
   -2.500     0.000  -0.152996   0.000288   0.009986   0.010274   0.000000   0.000000   0.069604  -0.000000   0.000000   20.0000     0.0790
   -2.000     0.000  -0.103097   0.000130   0.009946   0.010076   0.000000   0.000000   0.038014   0.000000  -0.000000   20.0000     0.0658
   -1.500     0.000  -0.053185   0.000034   0.009985   0.010019   0.000000  -0.000000   0.006394   0.000000   0.000000   20.0000     0.0278
   -1.000     0.000  -0.003267   0.000000   0.009981   0.009981  -0.000000  -0.000000  -0.025246  -0.000000  -0.000000   20.0000    -1.1705
   -0.500     0.000   0.046653   0.000029   0.009970   0.009999  -0.000000  -0.000000  -0.056897   0.000000   0.000000   20.0000     0.1956
    0.000     0.000   0.096569   0.000119   0.009927   0.010046   0.000000  -0.000000  -0.088549  -0.000000  -0.000000   20.0000     0.1494
    0.500     0.000   0.146475   0.000271   0.009800   0.010071   0.000000  -0.000000  -0.120191   0.000000  -0.000000   20.0000     0.1347
    1.000     0.000   0.196367   0.000486   0.009645   0.010131   0.000000  -0.000000  -0.151812   0.000000  -0.000000   20.0000     0.1274
    1.500     0.000   0.246238   0.000762   0.009395   0.010157   0.000000  -0.000000  -0.183403  -0.000000   0.000000   20.0000     0.1231
    2.000     0.000   0.296083   0.001100   0.009168   0.010267   0.000000  -0.000000  -0.214953  -0.000000   0.000000   20.0000     0.1203
    2.500     0.000   0.345897   0.001499   0.009063   0.010562   0.000000  -0.000000  -0.246456  -0.000000   0.000000   20.0000     0.1183
    3.000     0.000   0.395675   0.001959   0.009127   0.011086   0.000000  -0.000000  -0.277906   0.000000  -0.000000   20.0000     0.1167
    3.500     0.000   0.445410   0.002481   0.009340   0.011820   0.000000  -0.000000  -0.309296  -0.000000  -0.000000   20.0000     0.1156
    4.000     0.000   0.495099   0.003062   0.009672   0.012734   0.000000  -0.000000  -0.340617  -0.000000  -0.000000   20.0000     0.1146
    4.500     0.000   0.544734   0.003704   0.010104   0.013808   0.000000  -0.000000  -0.371861  -0.000000  -0.000000   20.0000     0.1139
    5.000     0.000   0.594312   0.004405   0.010649   0.015054   0.000000  -0.000000  -0.403021   0.000000   0.000000   20.0000     0.1132
    5.500     0.000   0.643826   0.005166   0.011347   0.016513   0.000000  -0.000000  -0.434092   0.000000   0.000000   20.0000     0.1127
    6.000     0.000   0.693272   0.005984   0.012406   0.018391   0.000000  -0.000000  -0.465078   0.000000   0.000000   20.0000     0.1123
    6.500     0.000   0.742644   0.006861   0.014280   0.021141   0.000000  -0.000000  -0.496010   0.000000   0.000000   20.0000     0.1119
    7.000     0.000   0.791936   0.007795   0.016381   0.024177   0.000000  -0.000000  -0.526850   0.000000  -0.000000   20.0000     0.1115
    7.500     0.000   0.841144   0.008786   0.018616   0.027402   0.000000  -0.000000  -0.557583   0.000000   0.000000   20.0000     0.1112


