xflr5 v6.50

Plane name :        AC_NACA_Swept_1
Polar name :        T1-20.0 m/s-VLM1-2.0kg-x0.0m
Freestream speed :  20.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -5.000     0.000  -0.366301   0.001741   0.012006   0.013747   0.000000   0.000000   1.163923  -0.000000  -0.000000   20.0000     0.4934
   -4.500     0.000  -0.320967   0.001336   0.011254   0.012590   0.000000  -0.000000   1.017179  -0.000000  -0.000000   20.0000     0.4919
   -4.000     0.000  -0.275597   0.000984   0.010630   0.011614   0.000000  -0.000000   0.870154   0.000000  -0.000000   20.0000     0.4898
   -3.500     0.000  -0.230197   0.000686   0.010238   0.010924   0.000000   0.000000   0.722899  -0.000000  -0.000000   20.0000     0.4869
   -3.000     0.000  -0.184772   0.000441   0.010032   0.010473   0.000000   0.000000   0.575434   0.000000  -0.000000   20.0000     0.4826
   -2.500     0.000  -0.139326   0.000250   0.009946   0.010196   0.000000   0.000000   0.427766   0.000000  -0.000000   20.0000     0.4756
   -2.000     0.000  -0.093864   0.000113   0.009948   0.010061   0.000000   0.000000   0.279926   0.000000  -0.000000   20.0000     0.4617
   -1.500     0.000  -0.048391   0.000030   0.009989   0.010019   0.000000   0.000000   0.131949  -0.000000  -0.000000   20.0000     0.4218
   -1.000     0.000  -0.002912   0.000001   0.009981   0.009982   0.000000   0.000000  -0.016127   0.000000  -0.000000   20.0000    -0.8628
   -0.500     0.000   0.042568   0.000026   0.009972   0.009998   0.000000   0.000000  -0.164251   0.000000  -0.000000   20.0000     0.5976
    0.000     0.000   0.088044   0.000105   0.009948   0.010053   0.000000   0.000000  -0.312375   0.000000   0.000000   20.0000     0.5493
    0.500     0.000   0.133512   0.000239   0.009834   0.010073   0.000000   0.000000  -0.460452   0.000000   0.000000   20.0000     0.5339
    1.000     0.000   0.178967   0.000427   0.009705   0.010132   0.000000   0.000000  -0.608433   0.000000   0.000000   20.0000     0.5263
    1.500     0.000   0.224403   0.000669   0.009505   0.010174   0.000000   0.000000  -0.756267   0.000000   0.000000   20.0000     0.5218
    2.000     0.000   0.269816   0.000964   0.009281   0.010246   0.000000   0.000000  -0.903907   0.000000   0.000000   20.0000     0.5189
    2.500     0.000   0.315201   0.001314   0.009108   0.010422   0.000000   0.000000  -1.051318   0.000000   0.000000   20.0000     0.5168
    3.000     0.000   0.360552   0.001716   0.009054   0.010771   0.000000   0.000000  -1.198470   0.000000   0.000000   20.0000     0.5152
    3.500     0.000   0.405867   0.002172   0.009141   0.011314   0.000000   0.000000  -1.345332   0.000000   0.000000   20.0000     0.5140
    4.000     0.000   0.451138   0.002681   0.009352   0.012033   0.000000   0.000000  -1.491870  -0.000000  -0.000000   20.0000     0.5131
    4.500     0.000   0.496362   0.003242   0.009659   0.012901   0.000000   0.000000  -1.638043   0.000000   0.000000   20.0000     0.5123
    5.000     0.000   0.541534   0.003855   0.010049   0.013904   0.000000   0.000000  -1.783811  -0.000000  -0.000000   20.0000     0.5117
    5.500     0.000   0.586649   0.004519   0.010528   0.015048   0.000000   0.000000  -1.929138  -0.000000   0.000000   20.0000     0.5112
    6.000     0.000   0.631701   0.005235   0.011124   0.016359   0.000000   0.000000  -2.073998  -0.000000   0.000000   20.0000     0.5108
    6.500     0.000   0.676688   0.006001   0.011948   0.017950   0.000000   0.000000  -2.218404  -0.000000  -0.000000   20.0000     0.5104
    7.000     0.000   0.721603   0.006817   0.013341   0.020159   0.000000   0.000000  -2.362485  -0.000000  -0.000000   20.0000     0.5101
    7.500     0.000   0.766441   0.007683   0.015210   0.022893   0.000000   0.000000  -2.506187  -0.000000  -0.000000   20.0000     0.5099


