xflr5 v6.50

Plane name :        AC_NACA_Flying
Polar name :        T1-20.0 m/s-VLM1-2.0kg-x0.023m
Freestream speed :  20.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -5.000     0.000  -0.410119   0.001554   0.014846   0.016400   0.000000  -0.000000  -0.019575  -0.000000  -0.000000   20.0000     0.0183
   -4.500     0.000  -0.359380   0.001193   0.013324   0.014517   0.000000   0.000000  -0.020527  -0.000000  -0.000000   20.0000     0.0173
   -4.000     0.000  -0.308605   0.000879   0.012197   0.013076   0.000000   0.000000  -0.021481  -0.000000  -0.000000   20.0000     0.0161
   -3.500     0.000  -0.257797   0.000613   0.011600   0.012213   0.000000  -0.000000  -0.022436   0.000000   0.000000   20.0000     0.0143
   -3.000     0.000  -0.206963   0.000394   0.011630   0.012024   0.000000  -0.000000  -0.023393   0.000000   0.000000   20.0000     0.0117
   -2.500     0.000  -0.156107   0.000223   0.011867   0.012090   0.000000   0.000000  -0.024351  -0.000000   0.000000   20.0000     0.0074
   -2.000     0.000  -0.105234   0.000101   0.012024   0.012125   0.000000   0.000000  -0.025311  -0.000000   0.000000   20.0000    -0.0011
   -1.500     0.000  -0.054350   0.000026   0.012192   0.012219   0.000000   0.000000  -0.026273   0.000000   0.000000   20.0000    -0.0254
   -1.000     0.000  -0.003460   0.000000   0.012341   0.012341   0.000000   0.000000  -0.027236  -0.000000  -0.000000   20.0000    -0.7646
   -0.500     0.000   0.047432   0.000023   0.012393   0.012416  -0.000000   0.000000  -0.028200   0.000000  -0.000000   20.0000     0.0825
    0.000     0.000   0.098319   0.000093   0.012432   0.012525  -0.000000   0.000000  -0.029164   0.000000  -0.000000   20.0000     0.0527
    0.500     0.000   0.149198   0.000212   0.012350   0.012562  -0.000000   0.000000  -0.030129   0.000000  -0.000000   20.0000     0.0432
    1.000     0.000   0.200062   0.000379   0.012250   0.012630  -0.000000   0.000000  -0.031093  -0.000000  -0.000000   20.0000     0.0385
    1.500     0.000   0.250906   0.000595   0.012045   0.012640  -0.000000   0.000000  -0.032057   0.000000   0.000000   20.0000     0.0358
    2.000     0.000   0.301726   0.000858   0.011803   0.012661  -0.000000   0.000000  -0.033021   0.000000  -0.000000   20.0000     0.0339
    2.500     0.000   0.352517   0.001169   0.011537   0.012706  -0.000000   0.000000  -0.033983  -0.000000  -0.000000   20.0000     0.0326
    3.000     0.000   0.403272   0.001528   0.011372   0.012900  -0.000000   0.000000  -0.034944  -0.000000  -0.000000   20.0000     0.0316
    3.500     0.000   0.453988   0.001934   0.011425   0.013359  -0.000000   0.000000  -0.035904  -0.000000   0.000000   20.0000     0.0309
    4.000     0.000   0.504659   0.002387   0.011666   0.014054  -0.000000   0.000000  -0.036862  -0.000000   0.000000   20.0000     0.0303
    4.500     0.000   0.555279   0.002887   0.012055   0.014942  -0.000000   0.000000  -0.037819   0.000000   0.000000   20.0000     0.0298
    5.000     0.000   0.605845   0.003433   0.012569   0.016003  -0.000000   0.000000  -0.038773  -0.000000  -0.000000   20.0000     0.0294
    5.500     0.000   0.656350   0.004026   0.013267   0.017292  -0.000000  -0.000000  -0.039725  -0.000000  -0.000000   20.0000     0.0290
    6.000     0.000   0.706790   0.004664   0.014619   0.019282  -0.000000   0.000000  -0.040676  -0.000000  -0.000000   20.0000     0.0287
    6.500     0.000   0.757159   0.005346   0.017436   0.022783  -0.000000   0.000000  -0.041628  -0.000000  -0.000000   20.0000     0.0285
    7.000     0.000   0.807453   0.006074   0.020098   0.026172  -0.000000   0.000000  -0.042576  -0.000000  -0.000000   20.0000     0.0283
    7.500     0.000   0.857667   0.006846   0.023017   0.029863  -0.000000   0.000000  -0.043522  -0.000000  -0.000000   20.0000     0.0281


