xflr5 v6.55

Plane name :        AR_11_03
Polar name :        T1-25.0 m/s-VLM2
Freestream speed :  25.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -3.000     0.000  -0.263052   0.002744   0.012964   0.015708  -0.000000   0.000000   0.238441   0.000000   0.000000   25.0000     0.5103
   -2.500     0.000  -0.231745   0.002170   0.011721   0.013891  -0.000000   0.000000   0.214818   0.000000   0.000000   25.0000     0.5133
   -2.000     0.000  -0.200406   0.001668   0.011256   0.012924  -0.000000   0.000000   0.191203   0.000000   0.000000   25.0000     0.5173
   -1.500     0.000  -0.169039   0.001240   0.011105   0.012344  -0.000000   0.000000   0.167570   0.000000   0.000000   25.0000     0.5229
   -1.000     0.000  -0.137648   0.000885   0.011089   0.011974  -0.000000   0.000000   0.143909   0.000000   0.000000   25.0000     0.5311
   -0.500     0.000  -0.106238   0.000604   0.011269   0.011873  -0.000000   0.000000   0.120227   0.000000   0.000000   25.0000     0.5441
    0.000     0.000  -0.074813   0.000397   0.011573   0.011970  -0.000000   0.000000   0.096531   0.000000   0.000000   25.0000     0.5680
    0.500     0.000  -0.043378   0.000264   0.011873   0.012137  -0.000000  -0.000000   0.072825   0.000000   0.000000   25.0000     0.6268
    1.000     0.000  -0.011937   0.000205   0.012090   0.012296  -0.000000  -0.000000   0.049117   0.000000   0.000000   25.0000     0.9953
    1.500     0.000   0.019507   0.000221   0.012159   0.012380   0.000000  -0.000000   0.025419  -0.000000  -0.000000   25.0000     0.1758
    2.000     0.000   0.050947   0.000311   0.012098   0.012409   0.000000  -0.000000   0.001745  -0.000000  -0.000000   25.0000     0.3678
    2.500     0.000   0.082381   0.000475   0.012044   0.012519   0.000000  -0.000000  -0.021904  -0.000000  -0.000000   25.0000     0.4133
    3.000     0.000   0.113804   0.000714   0.011997   0.012711   0.000000  -0.000000  -0.045523  -0.000000  -0.000000   25.0000     0.4337
    3.500     0.000   0.145211   0.001027   0.011960   0.012986   0.000000  -0.000000  -0.069107  -0.000000  -0.000000   25.0000     0.4453
    4.000     0.000   0.176599   0.001413   0.012024   0.013438   0.000000  -0.000000  -0.092658  -0.000000  -0.000000   25.0000     0.4527
    4.500     0.000   0.207962   0.001873   0.012130   0.014003   0.000000  -0.000000  -0.116164  -0.000000  -0.000000   25.0000     0.4580
    5.000     0.000   0.239297   0.002406   0.012162   0.014568   0.000000  -0.000000  -0.139603  -0.000000  -0.000000   25.0000     0.4619
    5.500     0.000   0.270599   0.003012   0.012215   0.015227   0.000000  -0.000000  -0.162976  -0.000000  -0.000000   25.0000     0.4649
    6.000     0.000   0.301864   0.003690   0.012273   0.015963   0.000000  -0.000000  -0.186276  -0.000000  -0.000000   25.0000     0.4673
    6.500     0.000   0.333088   0.004440   0.012317   0.016757   0.000000  -0.000000  -0.209497  -0.000000  -0.000000   25.0000     0.4693
    7.000     0.000   0.364266   0.005261   0.012439   0.017701   0.000000  -0.000000  -0.232651  -0.000000  -0.000000   25.0000     0.4710
    7.500     0.000   0.395394   0.006153   0.012583   0.018737   0.000000  -0.000000  -0.255718  -0.000000  -0.000000   25.0000     0.4724


