xflr5 v6.55

Plane name :        AR_27_59
Polar name :        T1-15 m/s-VLM2
Freestream speed :  15.500 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -2.000     0.000  -0.299799   0.001231   0.014732   0.015963  -0.000000   0.000000   0.189216   0.000000   0.000000   15.5000     0.4952
   -1.500     0.000  -0.254274   0.000841   0.012920   0.013761  -0.000000   0.000000   0.171064   0.000000   0.000000   15.5000     0.5014
   -1.000     0.000  -0.208722   0.000532   0.012815   0.013347  -0.000000   0.000000   0.152941   0.000000   0.000000   15.5000     0.5103
   -0.500     0.000  -0.163147   0.000303   0.013175   0.013478  -0.000000   0.000000   0.134789   0.000000   0.000000   15.5000     0.5243
    0.000     0.000  -0.117557   0.000155   0.013607   0.013762  -0.000000   0.000000   0.116619   0.000000   0.000000   15.5000     0.5491
    0.500     0.000  -0.071957   0.000086   0.014001   0.014088  -0.000000   0.000000   0.098437   0.000000   0.000000   15.5000     0.6054
    1.000     0.000  -0.026351   0.000099   0.014017   0.014116  -0.000000   0.000000   0.080258   0.000000   0.000000   15.5000     0.8565
    1.500     0.000   0.019254   0.000191   0.013893   0.014084   0.000000   0.000000   0.062084  -0.000000  -0.000000   15.5000    -0.0818
    2.000     0.000   0.064853   0.000364   0.013932   0.014296   0.000000   0.000000   0.043910  -0.000000  -0.000000   15.5000     0.2995
    2.500     0.000   0.110440   0.000617   0.014066   0.014683   0.000000   0.000000   0.025749  -0.000000  -0.000000   15.5000     0.3659
    3.000     0.000   0.156010   0.000950   0.014131   0.015081   0.000000   0.000000   0.007603  -0.000000  -0.000000   15.5000     0.3936
    3.500     0.000   0.201557   0.001362   0.014344   0.015707   0.000000   0.000000  -0.010525  -0.000000  -0.000000   15.5000     0.4088
    4.000     0.000   0.247075   0.001854   0.014604   0.016458   0.000000   0.000000  -0.028637  -0.000000  -0.000000   15.5000     0.4184
    4.500     0.000   0.292560   0.002424   0.014987   0.017412   0.000000   0.000000  -0.046713  -0.000000  -0.000000   15.5000     0.4250
    5.000     0.000   0.338005   0.003073   0.015243   0.018316   0.000000   0.000000  -0.064751  -0.000000  -0.000000   15.5000     0.4299
    5.500     0.000   0.383405   0.003800   0.015545   0.019345   0.000000   0.000000  -0.082760  -0.000000  -0.000000   15.5000     0.4336
    6.000     0.000   0.428754   0.004604   0.015848   0.020452   0.000000   0.000000  -0.100725  -0.000000  -0.000000   15.5000     0.4366


