xflr5 v6.55

Plane name :        Wing2
Polar name :        T1-20.6 m/s-VLM2
Freestream speed :  20.557 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -2.000     0.000  -0.299799   0.001231   0.013940   0.015170  -0.000000   0.000000   0.189188   0.000000   0.000000   20.5569     0.4952
   -1.500     0.000  -0.254274   0.000841   0.011883   0.012725  -0.000000   0.000000   0.171062   0.000000   0.000000   20.5569     0.5014
   -1.000     0.000  -0.208722   0.000532   0.011330   0.011862  -0.000000   0.000000   0.152935   0.000000   0.000000   20.5569     0.5103
   -0.500     0.000  -0.163147   0.000303   0.011195   0.011499  -0.000000   0.000000   0.134796   0.000000   0.000000   20.5569     0.5243
    0.000     0.000  -0.117557   0.000155   0.011504   0.011659  -0.000000   0.000000   0.116639   0.000000   0.000000   20.5569     0.5491
    0.500     0.000  -0.071957   0.000086   0.011939   0.012025  -0.000000   0.000000   0.098469   0.000000   0.000000   20.5569     0.6054
    1.000     0.000  -0.026351   0.000099   0.012336   0.012435  -0.000000   0.000000   0.080291   0.000000   0.000000   20.5569     0.8565
    1.500     0.000   0.019254   0.000191   0.012345   0.012536   0.000000   0.000000   0.062120  -0.000000  -0.000000   20.5569    -0.0818
    2.000     0.000   0.064853   0.000364   0.012215   0.012579   0.000000   0.000000   0.043963  -0.000000  -0.000000   20.5569     0.2995
    2.500     0.000   0.110440   0.000617   0.012189   0.012806   0.000000   0.000000   0.025814  -0.000000  -0.000000   20.5569     0.3659
    3.000     0.000   0.156010   0.000950   0.012277   0.013227   0.000000   0.000000   0.007677  -0.000000  -0.000000   20.5569     0.3936
    3.500     0.000   0.201557   0.001362   0.012503   0.013866   0.000000   0.000000  -0.010435  -0.000000  -0.000000   20.5569     0.4088
    4.000     0.000   0.247075   0.001854   0.012578   0.014432   0.000000   0.000000  -0.028520  -0.000000  -0.000000   20.5569     0.4184
    4.500     0.000   0.292560   0.002424   0.012707   0.015132   0.000000   0.000000  -0.046576  -0.000000  -0.000000   20.5569     0.4250
    5.000     0.000   0.338005   0.003073   0.012862   0.015936   0.000000   0.000000  -0.064605  -0.000000  -0.000000   20.5569     0.4299
    5.500     0.000   0.383405   0.003800   0.013184   0.016984   0.000000   0.000000  -0.082586  -0.000000  -0.000000   20.5569     0.4336
    6.000     0.000   0.428754   0.004604   0.013282   0.017886   0.000000   0.000000  -0.100509  -0.000000  -0.000000   20.5569     0.4366


