xflr5 v6.55

Plane name :        AR_6_89
Polar name :        T1-39.0 m/s-VLM2
Freestream speed :  38.980 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -5.000     0.000  -0.302602   0.004071   0.013503   0.017574   0.000000  -0.000000   0.292024   0.000000   0.000000   38.9800     0.4939
   -4.500     0.000  -0.277737   0.003499   0.013023   0.016522   0.000000  -0.000000   0.270204   0.000000   0.000000   38.9800     0.4947
   -4.000     0.000  -0.252793   0.002970   0.012420   0.015390   0.000000  -0.000000   0.248330   0.000000   0.000000   38.9800     0.4956
   -3.500     0.000  -0.227773   0.002485   0.011627   0.014111   0.000000  -0.000000   0.226394   0.000000   0.000000   38.9800     0.4970
   -3.000     0.000  -0.202680   0.002044   0.010748   0.012792   0.000000  -0.000000   0.204406   0.000000   0.000000   38.9800     0.4987
   -2.500     0.000  -0.177517   0.001650   0.010201   0.011851   0.000000  -0.000000   0.182408   0.000000   0.000000   38.9800     0.5012
   -2.000     0.000  -0.152288   0.001304   0.009861   0.011165  -0.000000  -0.000000   0.160382   0.000000   0.000000   38.9800     0.5046
   -1.500     0.000  -0.126996   0.001008   0.009633   0.010641  -0.000000  -0.000000   0.138333   0.000000   0.000000   38.9800     0.5096
   -1.000     0.000  -0.101643   0.000762   0.009602   0.010363  -0.000000  -0.000000   0.116269   0.000000   0.000000   38.9800     0.5173
   -0.500     0.000  -0.076233   0.000568   0.009722   0.010289  -0.000000   0.000000   0.094189   0.000000   0.000000   38.9800     0.5305
    0.000     0.000  -0.050770   0.000427   0.009867   0.010294  -0.000000   0.000000   0.072099   0.000000   0.000000   38.9800     0.5574
    0.500     0.000  -0.025257   0.000341   0.010018   0.010359  -0.000000   0.000000   0.050005   0.000000   0.000000   38.9800     0.6397
    1.000     0.000   0.000303   0.000311   0.010155   0.010466  -0.000000   0.000000   0.027913   0.000000   0.000000   38.9800   -13.2471
    1.500     0.000   0.025906   0.000337   0.010237   0.010575  -0.000000   0.000000   0.005837   0.000000   0.000000   38.9800     0.3140
    2.000     0.000   0.051550   0.000422   0.010315   0.010738   0.000000   0.000000  -0.016219   0.000000   0.000000   38.9800     0.3934
    2.500     0.000   0.077229   0.000566   0.010393   0.010959   0.000000   0.000000  -0.038250   0.000000   0.000000   38.9800     0.4198
    3.000     0.000   0.102942   0.000770   0.010471   0.011241   0.000000   0.000000  -0.060248   0.000000   0.000000   38.9800     0.4329
    3.500     0.000   0.128684   0.001035   0.010527   0.011562   0.000000   0.000000  -0.082206   0.000000   0.000000   38.9800     0.4406
    4.000     0.000   0.154452   0.001362   0.010549   0.011911   0.000000   0.000000  -0.104117   0.000000   0.000000   38.9800     0.4456
    4.500     0.000   0.180242   0.001752   0.010571   0.012323   0.000000   0.000000  -0.125977   0.000000   0.000000   38.9800     0.4492
    5.000     0.000   0.206051   0.002206   0.010595   0.012801   0.000000   0.000000  -0.147779   0.000000   0.000000   38.9800     0.4517
    5.500     0.000   0.231874   0.002724   0.010580   0.013305   0.000000   0.000000  -0.169513   0.000000   0.000000   38.9800     0.4537
    6.000     0.000   0.257709   0.003308   0.010558   0.013866   0.000000   0.000000  -0.191175   0.000000   0.000000   38.9800     0.4552
    6.500     0.000   0.283552   0.003958   0.010556   0.014513   0.000000   0.000000  -0.212763  -0.000000  -0.000000   38.9800     0.4563
    7.000     0.000   0.309398   0.004674   0.010567   0.015241   0.000000   0.000000  -0.234268  -0.000000  -0.000000   38.9800     0.4573
    7.500     0.000   0.335244   0.005457   0.010566   0.016023   0.000000   0.000000  -0.255677   0.000000   0.000000   38.9800     0.4581


