xflr5 v6.55

Plane name :        Elev_Distance_005
Polar name :        T1-19.3 m/s-VLM2
Freestream speed :  19.300 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
    0.000     0.000  -0.086431   0.000420   0.012708   0.013128   0.000000  -0.000000   0.111665  -0.000000  -0.000000   19.3000     0.5749
    0.500     0.000  -0.052246   0.000248   0.013035   0.013284   0.000000  -0.000000   0.089689  -0.000000  -0.000000   19.3000     0.6371
    1.000     0.000  -0.017715   0.000165   0.013296   0.013461   0.000000   0.000000   0.067710  -0.000000  -0.000000   19.3000     0.9529
    1.500     0.000   0.017159   0.000179   0.013220   0.013399  -0.000000   0.000000   0.045745   0.000000   0.000000   19.3000    -0.0274
    2.000     0.000   0.052368   0.000298   0.013110   0.013408  -0.000000   0.000000   0.023794   0.000000   0.000000   19.3000     0.3043
    2.500     0.000   0.087908   0.000532   0.013096   0.013628  -0.000000   0.000000   0.001856   0.000000   0.000000   19.3000     0.3679
    3.000     0.000   0.123773   0.000890   0.013138   0.014027  -0.000000   0.000000  -0.020063   0.000000   0.000000   19.3000     0.3939
    3.500     0.000   0.159956   0.001379   0.013218   0.014596  -0.000000   0.000000  -0.041948   0.000000   0.000000   19.3000     0.4073


