xflr5 v6.55

Plane name :        Elev_Distance_001
Polar name :        T1-20.0 m/s-VLM2
Freestream speed :  20.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -4.500     0.000  -0.415448   0.005732   0.019096   0.024828   0.000000  -0.000000   0.361956  -0.000000  -0.000000   20.0000     0.4957
   -4.000     0.000  -0.380315   0.004768   0.017318   0.022086   0.000000  -0.000000   0.336130  -0.000000  -0.000000   20.0000     0.4975
   -3.500     0.000  -0.345131   0.003895   0.015953   0.019848   0.000000   0.000000   0.310310  -0.000000  -0.000000   20.0000     0.4997
   -3.000     0.000  -0.309901   0.003113   0.014855   0.017968   0.000000   0.000000   0.284498  -0.000000  -0.000000   20.0000     0.5025
   -2.500     0.000  -0.274630   0.002423   0.013475   0.015898   0.000000   0.000000   0.258639  -0.000000  -0.000000   20.0000     0.5060
   -2.000     0.000  -0.239322   0.001825   0.012183   0.014007  -0.000000   0.000000   0.232724   0.000000   0.000000   20.0000     0.5106
   -1.500     0.000  -0.203984   0.001319   0.011863   0.013182  -0.000000   0.000000   0.206817   0.000000   0.000000   20.0000     0.5168
   -1.000     0.000  -0.168619   0.000906   0.011744   0.012650  -0.000000   0.000000   0.180887   0.000000   0.000000   20.0000     0.5256
   -0.500     0.000  -0.133233   0.000586   0.011943   0.012529  -0.000000   0.000000   0.154932   0.000000   0.000000   20.0000     0.5391
    0.000     0.000  -0.097832   0.000359   0.012265   0.012624  -0.000000   0.000000   0.128954   0.000000   0.000000   20.0000     0.5624
    0.500     0.000  -0.062421   0.000226   0.012595   0.012821  -0.000000   0.000000   0.102962   0.000000   0.000000   20.0000     0.6123
    1.000     0.000  -0.027004   0.000187   0.012882   0.013069  -0.000000   0.000000   0.076963   0.000000   0.000000   20.0000     0.7929
    1.500     0.000   0.008414   0.000241   0.012872   0.013113  -0.000000   0.000000   0.050979   0.000000   0.000000   20.0000    -0.5468
    2.000     0.000   0.043826   0.000388   0.012773   0.013162  -0.000000   0.000000   0.025014   0.000000   0.000000   20.0000     0.2786
    2.500     0.000   0.079228   0.000629   0.012756   0.013385  -0.000000   0.000000  -0.000935   0.000000   0.000000   20.0000     0.3663
    3.000     0.000   0.114616   0.000963   0.012799   0.013762  -0.000000   0.000000  -0.026863   0.000000   0.000000   20.0000     0.3998
    3.500     0.000   0.149982   0.001389   0.012874   0.014263  -0.000000   0.000000  -0.052753   0.000000   0.000000   20.0000     0.4176
    4.000     0.000   0.185324   0.001908   0.013053   0.014961  -0.000000   0.000000  -0.078604   0.000000   0.000000   20.0000     0.4286
    4.500     0.000   0.220635   0.002519   0.013108   0.015627  -0.000000   0.000000  -0.104401   0.000000   0.000000   20.0000     0.4361
    5.000     0.000   0.255910   0.003221   0.013207   0.016428  -0.000000   0.000000  -0.130149   0.000000   0.000000   20.0000     0.4416
    5.500     0.000   0.291145   0.004014   0.013354   0.017368  -0.000000   0.000000  -0.155842   0.000000   0.000000   20.0000     0.4458
    6.000     0.000   0.326333   0.004897   0.013465   0.018362  -0.000000   0.000000  -0.181451   0.000000   0.000000   20.0000     0.4491
    6.500     0.000   0.361471   0.005870   0.013701   0.019571  -0.000000   0.000000  -0.206986   0.000000   0.000000   20.0000     0.4518
    7.000     0.000   0.396554   0.006931   0.013805   0.020736  -0.000000   0.000000  -0.232409   0.000000   0.000000   20.0000     0.4540
    7.500     0.000   0.431575   0.008081   0.013556   0.021636  -0.000000   0.000000  -0.257684   0.000000   0.000000   20.0000     0.4560


