xflr5 v6.55

Plane name :        Elevator_0_5
Polar name :        T1-19.6 m/s-VLM2
Freestream speed :  19.550 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -1.000     0.000  -0.168105  -0.001471   0.011510   0.010039  -0.000000   0.000000   0.162931   0.000000   0.000000   19.5500     0.5247
   -0.500     0.000  -0.131748  -0.001402   0.011739   0.010337  -0.000000   0.000000   0.139894   0.000000   0.000000   19.5500     0.5388
    0.000     0.000  -0.095387  -0.001137   0.012077   0.010941  -0.000000   0.000000   0.116836   0.000000   0.000000   19.5500     0.5634
    0.500     0.000  -0.059032  -0.000676   0.012419   0.011743  -0.000000   0.000000   0.093766   0.000000   0.000000   19.5500     0.6184
    1.000     0.000  -0.022689  -0.000019   0.012696   0.012676  -0.000000   0.000000   0.070694   0.000000   0.000000   19.5500     0.8490
    1.500     0.000   0.013633   0.000832   0.012640   0.013471   0.000000   0.000000   0.047636  -0.000000  -0.000000   19.5500    -0.1482
    2.000     0.000   0.049926   0.001877   0.012528   0.014405   0.000000   0.000000   0.024594  -0.000000  -0.000000   19.5500     0.3049
    2.500     0.000   0.086184   0.003116   0.012509   0.015625   0.000000   0.000000   0.001566  -0.000000  -0.000000   19.5500     0.3767
    3.000     0.000   0.122397   0.004547   0.012552   0.017099   0.000000   0.000000  -0.021443  -0.000000  -0.000000   19.5500     0.4061
    3.500     0.000   0.158558   0.006169   0.012633   0.018802   0.000000   0.000000  -0.044416  -0.000000  -0.000000   19.5500     0.4222
    4.000     0.000   0.194659   0.007981   0.012809   0.020790   0.000000   0.000000  -0.067351  -0.000000  -0.000000   19.5500     0.4324
    4.500     0.000   0.230693   0.009981   0.012896   0.022878   0.000000   0.000000  -0.090238  -0.000000  -0.000000   19.5500     0.4395
    5.000     0.000   0.266652   0.012168   0.013039   0.025207   0.000000   0.000000  -0.113083  -0.000000  -0.000000   19.5500     0.4448
    5.500     0.000   0.302529   0.014540   0.013203   0.027743   0.000000   0.000000  -0.135879  -0.000000  -0.000000   19.5500     0.4490
    6.000     0.000   0.338315   0.017095   0.013329   0.030424   0.000000   0.000000  -0.158600  -0.000000  -0.000000   19.5500     0.4523


