xflr5 v6.55

Plane name :        Elevator_4
Polar name :        T1-27.7 m/s-VLM2
Freestream speed :  27.700 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -0.500     0.000  -0.122662  -0.000086   0.011103   0.011017  -0.000000   0.000000   0.105634   0.000000   0.000000   27.7000     0.5299
    0.000     0.000  -0.080429   0.000060   0.011360   0.011421  -0.000000   0.000000   0.079001   0.000000   0.000000   27.7000     0.5486
    0.500     0.000  -0.038193   0.000242   0.011704   0.011946  -0.000000   0.000000   0.052364   0.000000   0.000000   27.7000     0.6086
    1.000     0.000   0.004042   0.000460   0.011963   0.012423  -0.000000   0.000000   0.025731   0.000000   0.000000   27.7000    -0.5840
    1.500     0.000   0.046271   0.000713   0.012070   0.012783   0.000000   0.000000  -0.000888  -0.000000  -0.000000   27.7000     0.4003
    2.000     0.000   0.088491   0.001001   0.012071   0.013072   0.000000   0.000000  -0.027478  -0.000000  -0.000000   27.7000     0.4453
    2.500     0.000   0.130698   0.001325   0.012061   0.013386   0.000000   0.000000  -0.054036  -0.000000  -0.000000   27.7000     0.4612
    3.000     0.000   0.172887   0.001684   0.012027   0.013711   0.000000   0.000000  -0.080556  -0.000000  -0.000000   27.7000     0.4694
    3.500     0.000   0.215054   0.002077   0.012066   0.014143   0.000000   0.000000  -0.107034  -0.000000  -0.000000   27.7000     0.4744
    4.000     0.000   0.257195   0.002505   0.012177   0.014682   0.000000   0.000000  -0.133469  -0.000000  -0.000000   27.7000     0.4778
    4.500     0.000   0.299306   0.002966   0.012276   0.015243   0.000000   0.000000  -0.159837  -0.000000  -0.000000   27.7000     0.4802
    5.000     0.000   0.341383   0.003462   0.012424   0.015886   0.000000   0.000000  -0.186138  -0.000000  -0.000000   27.7000     0.4821


