xflr5 v6.55

Plane name :        Elevator_2
Polar name :        T1-20.0 m/s-VLM2
Freestream speed :  20.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -2.000     0.000  -0.230856   0.001652   0.012426   0.014078  -0.000000   0.000000   0.180992   0.000000   0.000000   20.0000     0.5030
   -1.500     0.000  -0.194968   0.001239   0.012099   0.013339  -0.000000   0.000000   0.160333   0.000000   0.000000   20.0000     0.5088
   -1.000     0.000  -0.159055   0.000898   0.011994   0.012891  -0.000000   0.000000   0.139659   0.000000   0.000000   20.0000     0.5172
   -0.500     0.000  -0.123122   0.000627   0.012208   0.012835  -0.000000   0.000000   0.118967   0.000000   0.000000   20.0000     0.5306
    0.000     0.000  -0.087174   0.000429   0.012542   0.012971  -0.000000   0.000000   0.098260   0.000000   0.000000   20.0000     0.5550
    0.500     0.000  -0.051216   0.000302   0.012883   0.013185  -0.000000   0.000000   0.077543   0.000000   0.000000   20.0000     0.6139
    1.000     0.000  -0.015251   0.000247   0.013168   0.013415  -0.000000   0.000000   0.056825   0.000000   0.000000   20.0000     0.9503
    1.500     0.000   0.020715   0.000264   0.013124   0.013388   0.000000   0.000000   0.036122  -0.000000  -0.000000   20.0000     0.1185
    2.000     0.000   0.056678   0.000353   0.013011   0.013364   0.000000   0.000000   0.015436  -0.000000  -0.000000   20.0000     0.3424
    2.500     0.000   0.092633   0.000514   0.012987   0.013501   0.000000   0.000000  -0.005236  -0.000000  -0.000000   20.0000     0.3924
    3.000     0.000   0.128575   0.000747   0.013026   0.013773   0.000000   0.000000  -0.025889  -0.000000  -0.000000   20.0000     0.4145
    3.500     0.000   0.164501   0.001051   0.013118   0.014169   0.000000   0.000000  -0.046509  -0.000000  -0.000000   20.0000     0.4270
    4.000     0.000   0.200405   0.001426   0.013301   0.014727   0.000000   0.000000  -0.067094  -0.000000  -0.000000   20.0000     0.4350
    4.500     0.000   0.236282   0.001873   0.013381   0.015253   0.000000  -0.000000  -0.087632  -0.000000  -0.000000   20.0000     0.4406
    5.000     0.000   0.272129   0.002390   0.013511   0.015901   0.000000  -0.000000  -0.108130  -0.000000  -0.000000   20.0000     0.4447
    5.500     0.000   0.307940   0.002977   0.013666   0.016643   0.000000  -0.000000  -0.128584  -0.000000  -0.000000   20.0000     0.4479


