xflr5 v6.55

Plane name :        Headwinds
Polar name :        T1-19.0 m/s-VLM2
Freestream speed :  19.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -2.500     0.000  -0.277306   0.002290   0.013805   0.016095  -0.000000   0.000000   0.231163   0.000000   0.000000   19.0000     0.5041
   -2.000     0.000  -0.240344   0.001756   0.012588   0.014344  -0.000000   0.000000   0.207245   0.000000   0.000000   19.0000     0.5084
   -1.500     0.000  -0.203353   0.001298   0.012284   0.013583  -0.000000   0.000000   0.183340   0.000000   0.000000   19.0000     0.5143
   -1.000     0.000  -0.166338   0.000917   0.012221   0.013138  -0.000000   0.000000   0.159414   0.000000   0.000000   19.0000     0.5228
   -0.500     0.000  -0.129303   0.000613   0.012479   0.013092  -0.000000   0.000000   0.135465   0.000000   0.000000   19.0000     0.5363
    0.000     0.000  -0.092254   0.000387   0.012823   0.013210  -0.000000   0.000000   0.111498   0.000000   0.000000   19.0000     0.5605
    0.500     0.000  -0.055194   0.000237   0.013162   0.013399  -0.000000   0.000000   0.087519   0.000000   0.000000   19.0000     0.6174
    1.000     0.000  -0.018130   0.000165   0.013412   0.013577  -0.000000   0.000000   0.063541   0.000000   0.000000   19.0000     0.9066
    1.500     0.000   0.018935   0.000170   0.013328   0.013498   0.000000   0.000000   0.039579  -0.000000  -0.000000   19.0000     0.0634
    2.000     0.000   0.055994   0.000253   0.013224   0.013476   0.000000   0.000000   0.015631  -0.000000  -0.000000   19.0000     0.3365
    2.500     0.000   0.093045   0.000412   0.013218   0.013630   0.000000   0.000000  -0.008299  -0.000000  -0.000000   19.0000     0.3920
    3.000     0.000   0.130081   0.000649   0.013264   0.013913   0.000000   0.000000  -0.032208  -0.000000  -0.000000   19.0000     0.4160
    3.500     0.000   0.167098   0.000962   0.013347   0.014309   0.000000   0.000000  -0.056076  -0.000000  -0.000000   19.0000     0.4293
    4.000     0.000   0.204091   0.001352   0.013521   0.014873   0.000000   0.000000  -0.079903  -0.000000  -0.000000   19.0000     0.4379
    4.500     0.000   0.241055   0.001818   0.013620   0.015438   0.000000   0.000000  -0.103683  -0.000000  -0.000000   19.0000     0.4438
    5.000     0.000   0.277985   0.002360   0.013783   0.016143   0.000000   0.000000  -0.127417  -0.000000  -0.000000   19.0000     0.4482
    5.500     0.000   0.314877   0.002977   0.013958   0.016935   0.000000   0.000000  -0.151098  -0.000000  -0.000000   19.0000     0.4516
    6.000     0.000   0.351726   0.003669   0.014091   0.017760   0.000000   0.000000  -0.174699  -0.000000  -0.000000   19.0000     0.4543
    6.500     0.000   0.388527   0.004434   0.014326   0.018760   0.000000   0.000000  -0.198222  -0.000000  -0.000000   19.0000     0.4565
    7.000     0.000   0.425275   0.005274   0.014455   0.019729   0.000000   0.000000  -0.221652  -0.000000  -0.000000   19.0000     0.4583


