xflr5 v6.55

Plane name :        Wing1
Polar name :        T1-20.0 m/s-VLM2
Freestream speed :  20.557 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -2.500     0.000  -0.277306   0.002290   0.013623   0.015913  -0.000000   0.000000   0.231148   0.000000   0.000000   20.5569     0.5041
   -2.000     0.000  -0.240344   0.001756   0.012233   0.013989  -0.000000   0.000000   0.207238   0.000000   0.000000   20.5569     0.5084
   -1.500     0.000  -0.203353   0.001298   0.011871   0.013169  -0.000000   0.000000   0.183333   0.000000   0.000000   20.5569     0.5143
   -1.000     0.000  -0.166338   0.000917   0.011752   0.012669  -0.000000   0.000000   0.159410   0.000000   0.000000   20.5569     0.5228
   -0.500     0.000  -0.129303   0.000613   0.011941   0.012554  -0.000000   0.000000   0.135466   0.000000   0.000000   20.5569     0.5363
    0.000     0.000  -0.092254   0.000387   0.012276   0.012662  -0.000000   0.000000   0.111503   0.000000   0.000000   20.5569     0.5605
    0.500     0.000  -0.055194   0.000237   0.012624   0.012861  -0.000000   0.000000   0.087529   0.000000   0.000000   20.5569     0.6174
    1.000     0.000  -0.018130   0.000165   0.012923   0.013088  -0.000000   0.000000   0.063552   0.000000   0.000000   20.5569     0.9066
    1.500     0.000   0.018935   0.000170   0.012901   0.013071   0.000000   0.000000   0.039590  -0.000000  -0.000000   20.5569     0.0634
    2.000     0.000   0.055994   0.000253   0.012779   0.013032   0.000000   0.000000   0.015648  -0.000000  -0.000000   20.5569     0.3365
    2.500     0.000   0.093045   0.000412   0.012736   0.013149   0.000000   0.000000  -0.008276  -0.000000  -0.000000   20.5569     0.3920
    3.000     0.000   0.130081   0.000649   0.012757   0.013406   0.000000   0.000000  -0.032178  -0.000000  -0.000000   20.5569     0.4160
    3.500     0.000   0.167098   0.000962   0.012845   0.013808   0.000000   0.000000  -0.056043  -0.000000  -0.000000   20.5569     0.4293
    4.000     0.000   0.204091   0.001352   0.013021   0.014373   0.000000   0.000000  -0.079870  -0.000000  -0.000000   20.5569     0.4379
    4.500     0.000   0.241055   0.001818   0.013083   0.014901   0.000000   0.000000  -0.103641  -0.000000  -0.000000   20.5569     0.4438
    5.000     0.000   0.277985   0.002360   0.013192   0.015552   0.000000   0.000000  -0.127363  -0.000000  -0.000000   20.5569     0.4482
    5.500     0.000   0.314877   0.002977   0.013327   0.016303   0.000000   0.000000  -0.151032  -0.000000  -0.000000   20.5569     0.4516
    6.000     0.000   0.351726   0.003669   0.013461   0.017130   0.000000   0.000000  -0.174628  -0.000000  -0.000000   20.5569     0.4543
    6.500     0.000   0.388527   0.004434   0.013714   0.018148   0.000000   0.000000  -0.198151  -0.000000  -0.000000   20.5569     0.4565
    7.000     0.000   0.425275   0.005274   0.013786   0.019059   0.000000   0.000000  -0.221567  -0.000000  -0.000000   20.5569     0.4583


