xflr5 v6.55

Plane name :        Twist_1positive
Polar name :        T1-40 m/s-VLM2
Freestream speed :  40.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -2.000     0.000  -0.188781   0.000976   0.009450   0.010426  -0.000000  -0.000000   0.127132   0.000000   0.000000   40.0000     0.4806
   -1.500     0.000  -0.151767   0.000643   0.008704   0.009348  -0.000000  -0.000000   0.103219   0.000000   0.000000   40.0000     0.4817
   -1.000     0.000  -0.114735   0.000388   0.008394   0.008782  -0.000000  -0.000000   0.079287   0.000000   0.000000   40.0000     0.4836
   -0.500     0.000  -0.077688   0.000209   0.008500   0.008710  -0.000000  -0.000000   0.055336   0.000000   0.000000   40.0000     0.4872
    0.000     0.000  -0.040633   0.000108   0.008695   0.008803  -0.000000  -0.000000   0.031375   0.000000   0.000000   40.0000     0.4975
    0.500     0.000  -0.003573   0.000084   0.008825   0.008910  -0.000000  -0.000000   0.007417   0.000000   0.000000   40.0000     0.7207
    1.000     0.000   0.033486   0.000138   0.008955   0.009093   0.000000  -0.000000  -0.016529  -0.000000  -0.000000   40.0000     0.4498
    1.500     0.000   0.070539   0.000269   0.009086   0.009355   0.000000  -0.000000  -0.040456  -0.000000  -0.000000   40.0000     0.4636
    2.000     0.000   0.107583   0.000477   0.009197   0.009675   0.000000  -0.000000  -0.064355  -0.000000  -0.000000   40.0000     0.4679
    2.500     0.000   0.144611   0.000762   0.009287   0.010049   0.000000  -0.000000  -0.088221  -0.000000  -0.000000   40.0000     0.4700
    3.000     0.000   0.181619   0.001125   0.009327   0.010452   0.000000   0.000000  -0.112048  -0.000000  -0.000000   40.0000     0.4713
    3.500     0.000   0.218602   0.001563   0.009314   0.010877   0.000000   0.000000  -0.135827  -0.000000  -0.000000   40.0000     0.4721
    4.000     0.000   0.255555   0.002078   0.009311   0.011390   0.000000   0.000000  -0.159557  -0.000000  -0.000000   40.0000     0.4728
    4.500     0.000   0.292474   0.002669   0.009290   0.011959   0.000000   0.000000  -0.183221  -0.000000  -0.000000   40.0000     0.4733
    5.000     0.000   0.329354   0.003335   0.009289   0.012624   0.000000   0.000000  -0.206817  -0.000000  -0.000000   40.0000     0.4737
    5.500     0.000   0.366190   0.004076   0.009340   0.013416   0.000000   0.000000  -0.230340  -0.000000  -0.000000   40.0000     0.4740
    6.000     0.000   0.402976   0.004891   0.009368   0.014259   0.000000   0.000000  -0.253772  -0.000000  -0.000000   40.0000     0.4744
    6.500     0.000   0.439710   0.005780   0.009298   0.015078   0.000000   0.000000  -0.277094  -0.000000  -0.000000   40.0000     0.4746
    7.000     0.000   0.476385   0.006741   0.009551   0.016292   0.000000   0.000000  -0.300387  -0.000000  -0.000000   40.0000     0.4749


