xflr5 v6.55

Plane name :        Twist_4
Polar name :        T1-17.0 m/s-VLM2
Freestream speed :  17.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -2.000     0.000  -0.317471   0.003603   0.016287   0.019890  -0.000000  -0.000000   0.327106   0.000000   0.000000   17.0000     0.5331
   -1.500     0.000  -0.280545   0.002960   0.015026   0.017986  -0.000000  -0.000000   0.303226   0.000000   0.000000   17.0000     0.5406
   -1.000     0.000  -0.243585   0.002394   0.014115   0.016509  -0.000000  -0.000000   0.279327   0.000000   0.000000   17.0000     0.5504
   -0.500     0.000  -0.206598   0.001903   0.013505   0.015409  -0.000000  -0.000000   0.255415   0.000000   0.000000   17.0000     0.5638
    0.000     0.000  -0.169587   0.001490   0.013078   0.014568  -0.000000  -0.000000   0.231493   0.000000   0.000000   17.0000     0.5830
    0.500     0.000  -0.132558   0.001153   0.013318   0.014471  -0.000000  -0.000000   0.207546   0.000000   0.000000   17.0000     0.6129
    1.000     0.000  -0.095516   0.000893   0.013635   0.014528  -0.000000  -0.000000   0.183578   0.000000   0.000000   17.0000     0.6662
    1.500     0.000  -0.058465   0.000710   0.013897   0.014607   0.000000  -0.000000   0.159594  -0.000000  -0.000000   17.0000     0.7869
    2.000     0.000  -0.021409   0.000605   0.013992   0.014597   0.000000  -0.000000   0.135604  -0.000000  -0.000000   17.0000     1.3254
    2.500     0.000   0.015645   0.000576   0.013982   0.014558   0.000000  -0.000000   0.111622  -0.000000  -0.000000   17.0000    -0.6868
    3.000     0.000   0.052693   0.000624   0.013956   0.014580   0.000000   0.000000   0.087662  -0.000000  -0.000000   17.0000     0.1307
    3.500     0.000   0.089731   0.000749   0.013984   0.014734   0.000000   0.000000   0.063719  -0.000000  -0.000000   17.0000     0.2733
    4.000     0.000   0.126754   0.000951   0.014064   0.015015   0.000000   0.000000   0.039798  -0.000000  -0.000000   17.0000     0.3325
    4.500     0.000   0.163756   0.001229   0.014210   0.015439   0.000000   0.000000   0.015912  -0.000000  -0.000000   17.0000     0.3650
    5.000     0.000   0.200733   0.001583   0.014315   0.015898   0.000000   0.000000  -0.007935  -0.000000  -0.000000   17.0000     0.3856
    5.500     0.000   0.237680   0.002013   0.014443   0.016455   0.000000   0.000000  -0.031741  -0.000000  -0.000000   17.0000     0.3998
    6.000     0.000   0.274592   0.002517   0.014665   0.017182   0.000000   0.000000  -0.055504  -0.000000  -0.000000   17.0000     0.4101
    6.500     0.000   0.311465   0.003097   0.014869   0.017966   0.000000   0.000000  -0.079216  -0.000000  -0.000000   17.0000     0.4181
    7.000     0.000   0.348294   0.003750   0.015075   0.018825   0.000000   0.000000  -0.102858  -0.000000  -0.000000   17.0000     0.4244
    7.500     0.000   0.385073   0.004477   0.015280   0.019757   0.000000   0.000000  -0.126418  -0.000000  -0.000000   17.0000     0.4295


