xflr5 v6.55

Plane name :        Twist_1positive
Polar name :        T1-20.0 m/s-VLM2
Freestream speed :  20.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -2.000     0.000  -0.188781   0.000976   0.011980   0.012957  -0.000000  -0.000000   0.127261   0.000000   0.000000   20.0000     0.4806
   -1.500     0.000  -0.151767   0.000643   0.012029   0.012672  -0.000000  -0.000000   0.103317   0.000000   0.000000   20.0000     0.4817
   -1.000     0.000  -0.114735   0.000388   0.012250   0.012638  -0.000000  -0.000000   0.079346   0.000000   0.000000   20.0000     0.4836
   -0.500     0.000  -0.077688   0.000209   0.012589   0.012798  -0.000000  -0.000000   0.055360   0.000000   0.000000   20.0000     0.4872
    0.000     0.000  -0.040633   0.000108   0.012863   0.012971  -0.000000  -0.000000   0.031368   0.000000   0.000000   20.0000     0.4975
    0.500     0.000  -0.003573   0.000084   0.013042   0.013126  -0.000000  -0.000000   0.007383   0.000000   0.000000   20.0000     0.7207
    1.000     0.000   0.033486   0.000138   0.013016   0.013154   0.000000  -0.000000  -0.016585  -0.000000  -0.000000   20.0000     0.4498
    1.500     0.000   0.070539   0.000269   0.012971   0.013239   0.000000  -0.000000  -0.040537  -0.000000  -0.000000   20.0000     0.4636
    2.000     0.000   0.107583   0.000477   0.012968   0.013445   0.000000  -0.000000  -0.064466  -0.000000  -0.000000   20.0000     0.4679
    2.500     0.000   0.144611   0.000762   0.012961   0.013723   0.000000  -0.000000  -0.088361  -0.000000  -0.000000   20.0000     0.4700
    3.000     0.000   0.181619   0.001125   0.013084   0.014208   0.000000   0.000000  -0.112225  -0.000000  -0.000000   20.0000     0.4713
    3.500     0.000   0.218602   0.001563   0.013233   0.014796   0.000000   0.000000  -0.136040  -0.000000  -0.000000   20.0000     0.4721
    4.000     0.000   0.255555   0.002078   0.013383   0.015461   0.000000   0.000000  -0.159809  -0.000000  -0.000000   20.0000     0.4728
    4.500     0.000   0.292474   0.002669   0.013527   0.016196   0.000000   0.000000  -0.183520  -0.000000  -0.000000   20.0000     0.4733
    5.000     0.000   0.329354   0.003335   0.013624   0.016959   0.000000   0.000000  -0.207155  -0.000000  -0.000000   20.0000     0.4737
    5.500     0.000   0.366190   0.004076   0.013787   0.017863   0.000000   0.000000  -0.230725  -0.000000  -0.000000   20.0000     0.4740
    6.000     0.000   0.402976   0.004891   0.013957   0.018847   0.000000   0.000000  -0.254206  -0.000000  -0.000000   20.0000     0.4744
    6.500     0.000   0.439710   0.005780   0.013808   0.019587   0.000000   0.000000  -0.277530  -0.000000  -0.000000   20.0000     0.4746
    7.000     0.000   0.476385   0.006741   0.013338   0.020079   0.000000   0.000000  -0.300713  -0.000000  -0.000000   20.0000     0.4749


