     Alpha       T1-20.0 m/s-VLM1    
           -5        -0.4394528  
         -4.5        -0.4048742  
           -4        -0.3702284  
         -3.5        -0.3355182  
           -3        -0.3007467  
         -2.5        -0.2659169  
           -2        -0.2310317  
         -1.5        -0.1960943  
           -1        -0.1611077  
         -0.5         -0.126075  
            0       -0.09099944  
          0.5       -0.05588405  
            1       -0.02073207  
          1.5        0.01445329  
            2        0.04966878  
          2.5        0.08491115  
            3         0.1201771  
          3.5         0.1554634  
            4         0.1907666  
          4.5         0.2260834  
            5         0.2614105  
          5.5         0.2967444  
            6         0.3320818  
          6.5         0.3674192  
            7         0.4027532  
          7.5         0.4380803  

